Device,Width,Length,Corner,Max_error(%)
sky130_fd_pr__nfet_05v0_nvt,1.0,0.9,sf,0.000%
sky130_fd_pr__nfet_05v0_nvt,0.42,1.0,sf,0.000%
sky130_fd_pr__nfet_05v0_nvt,0.42,0.9,sf,0.000%
sky130_fd_pr__nfet_05v0_nvt,0.7,0.9,sf,0.000%
sky130_fd_pr__nfet_05v0_nvt,10.0,2.0,ss,0.001%
sky130_fd_pr__nfet_05v0_nvt,10.0,4.0,ss,0.000%
sky130_fd_pr__nfet_05v0_nvt,10.0,0.9,ss,0.007%
sky130_fd_pr__nfet_05v0_nvt,1.0,25.0,ss,0.000%
sky130_fd_pr__nfet_05v0_nvt,1.0,2.0,ss,0.000%
sky130_fd_pr__nfet_05v0_nvt,1.0,4.0,ss,0.000%
sky130_fd_pr__nfet_05v0_nvt,1.0,8.0,ss,0.000%
sky130_fd_pr__nfet_05v0_nvt,1.0,0.9,ss,0.000%
sky130_fd_pr__nfet_05v0_nvt,0.42,1.0,ss,0.000%
sky130_fd_pr__nfet_05v0_nvt,0.42,0.9,ss,0.000%
sky130_fd_pr__nfet_05v0_nvt,0.7,0.9,ss,0.000%
sky130_fd_pr__esd_nfet_01v8,20.35,0.165,tt,0.064%
sky130_fd_pr__esd_nfet_01v8,40.31,0.165,tt,0.025%
sky130_fd_pr__esd_nfet_01v8,5.4,0.18,tt,0.011%
sky130_fd_pr__esd_nfet_01v8,20.35,0.165,ff,0.047%
sky130_fd_pr__esd_nfet_01v8,40.31,0.165,ff,0.006%
sky130_fd_pr__esd_nfet_01v8,5.4,0.18,ff,0.017%
sky130_fd_pr__esd_nfet_01v8,20.35,0.165,fs,0.067%
sky130_fd_pr__esd_nfet_01v8,40.31,0.165,fs,0.029%
sky130_fd_pr__esd_nfet_01v8,5.4,0.18,fs,0.009%
sky130_fd_pr__esd_nfet_01v8,20.35,0.165,sf,0.089%
sky130_fd_pr__esd_nfet_01v8,40.31,0.165,sf,0.042%
sky130_fd_pr__esd_nfet_01v8,5.4,0.18,sf,0.016%
sky130_fd_pr__esd_nfet_01v8,20.35,0.165,ss,0.033%
sky130_fd_pr__esd_nfet_01v8,40.31,0.165,ss,0.050%
sky130_fd_pr__esd_nfet_01v8,5.4,0.18,ss,0.015%
